idx,question,category,true_answer,model_answer,accuracy,confidence
167924,"'Each year this British Columbia city hosts the Symphony of Fire, a 4-day fireworks extravaganza'",CANADIAN TOURISM,Vancouver,What is Vancouver?,1,1.0
48860,"'The only Republican presidential nominee to lose twice, his running mate the 2nd time was Earl Warren'",I GET NO KICK FROM CAMPAIGN,Dewey,Who is Thomas Dewey?,1,1.0
94899,"'The alternate title to the Anne Rice book ""Ramses the Damned"" mentions one of these previously buried folk'",BRING OUT YOUR DEAD,a mummy,What is a mummy?,1,0.9
4510,"'The priest's duty to keep your sins secret is traditionally protected by ""the sanctity of"" this booth'",CATHOLIC PRIESTS,the confessional,What is the confessional booth?,1,1.0
158549,'This last colony in Africa shares part of its name with a desert & is claimed by Morocco',TOUGH GEOGRAPHY,Western Sahara,What is Western Sahara?,1,0.95
152429,"'The ""Hope""ful, priceless object, seen here, is this type of gem'",START SAVING NOW,(the Hope) diamond,What is a diamond?,1,0.9
78068,'Deneb is the brightest star in this constellation whose name means swan',POTPOURRI,Cygnus,What is Cygnus?,1,1.0
142385,"'First, get yourself to New York, Chicago or Boston & hop on this Irish airline that first flew on May 27, 1936'",IT'S A LONG WAY TO TIPPERARY,Aer Lingus,What is Aer Lingus?,1,0.95
198888,'It's the capital of Montana',IT'S A FACT,Helena,What is Helena?,1,1.0
163359,'He began monk-ing around with garden peas in 1856',PEA,Gregor Mendel,Who is Gregor Mendel?,1,0.9
33917,'In the AFC East:<br />The Flight Crew',PRO CHEERLEADER SQUADS,the (New York) Jets,What is the cheerleader squad for the New York Jets?,1,1.0
84276,"'Born in Germany in 1685, he tuned out April 14, 1759 in London'",BORN & DIED,Handel,Who is Johann Sebastian Bach?,0,0.9
192308,"'Hillsborough, a neutral stadium, was the site of a fatal 1989 stampede at this type of British sporting event'",BAD NEWS,soccer match,What is a soccer match?,1,0.99
90893,'You can bank on it:<br />FLOWER GALS',ANAGRAMS INC.,Wells Fargo,"What is ""Wall Street Journal""?",0,0.9
69027,"'Puu Nana is a peak on this island, home to Hawaii's leprosy treatment center'",NANA,Molokai,What is the island of Molokai?,1,0.9
54076,"'This landmark in Rio's Guanabara Bay is an axample of an inselberg, or ""island mountain""'",GEOLOGY,Sugar Loaf Mountain,What is Sugarloaf Mountain?,1,0.9
89296,"'Born just days apart in 1951, in 1976 they opened their first ice cream shop in a renovated gas station in Vermont'",FAMOUS PAIRS,Ben & Jerry,Who are Ben and Jerry?,1,1.0
97094,"'For writing the pamphlet ""The Necessity of Atheism"", this ""Ode to the West Wind"" poet was expelled from Oxford'",POETS & POETRY,Percy Shelley,Who is Percy Bysshe Shelley?,1,0.95
114485,"'In 1883 more than 36,000 died following an explosion on this volcanic Indonesian island'","""K"" MART",Krakatoa,What is Krakatoa?,1,0.95
72324,"'What was once chiropody, the health field dealing with the feet, is now more commonly called this'",ARCHAIC WORDS,podiatry,What is Podiatry?,1,0.95
69972,"'""The Father of the Declaration of Independence""'",FAMOUS FATHERS,Thomas Jefferson,Who is Thomas Jefferson?,1,0.9
110462,"'Now with over a hundred chapters, the March of Dimes was first established by this president'",ORGANIZATIONS,Franklin Delano Roosevelt,Who is Franklin D. Roosevelt?,1,1.0
40215,"'Richmond kills the title king & ends this play saying, ""Peace lives again: that she may long live here, God say amen!""'",SHAKESPEARE'S TRAGIC ENDINGS,Richard III,"What is ""Richard III""?",1,0.95
203363,'The British used these cavalry troops in the Sikh & Afghan Wars & to crush the Sepoy Rebellion',SPEARS,Bengal Lancers,What are lancers?,0,0.9
86289,"'However you draw the border between Nicaragua & this 2-named country, somebody gets mad, huh?'","MAPMAKER, MAPMAKER",Costa Rica,What is Costa Rica?,1,0.95
1499,"'It's a signal at night for soldiers to go to their quarters, or an indelible pattern drawn on the skin'","""TOO"" MUCH",a tattoo,What is a tattoo?,1,0.95
30316,"'Yes, Bubbe, it's a headscarf worn by Russian women, or a term for a Russian grandmother'","""B"" YOUR BEST",a babushka,What is a babushka?,1,1.0
30402,'Get too close to this beloved of Quasimodo & he might just ring your bell',FICTIONAL CHARACTERS,Esmeralda,Who is Esmeralda?,1,1.0
33771,"'(<a href=""http://www.j-archive.com/media/2001-12-20_J_12.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue.</a>)  <a href=""http://www.j-archive.com/media/2001-12-20_J_12a.jpg"" target=""_blank"">This</a> is the spicy treat that fits the category'","A ""C.D."" CATEGORY",a chili dog,What is a chili dog?,1,0.7
199023,'5-letter word for an explosive used to lend realism to cinematic gunplay',SPECIAL EFFECTS,squib,"What is a ""squib""?",1,0.9
128841,"'Working her way through college as ""Bunny Sue"", she's now working as Dharma's mother-in-law'",EX-BUNNIES,Susan Sullivan,Who is Susan Sullivan?,1,0.75
22688,"'""And when he opened the seventh seal, there was silence in heaven about the space of half an hour""'",BOOKS OF THE BIBLE,Revelation,What is the book of Revelation?,1,0.95
62725,'The final draft of the U.S. Constitution was composed in this city in September 1787',AMERICAN CITIES,Philadelphia,What is Philadelphia?,1,1.0
19489,"'In London, Shakespeare boarded with the Mountjoys, a family of these French Protestants'",GOOD WILL SHAKESPEARE,Huguenots,Who are Huguenots?,1,0.99
125959,"'She's the Pennsylvania-born expatriate whose work is seen <a href=""http://www.j-archive.com/media/2005-12-05_J_16.jpg"" target=""_blank"">here</a>'",ART FOR ART'S SAKE,(Mary) Cassatt,Who is Mary Cassatt?,1,0.85
207923,"'The name of this cold, treeless region where reindeer thrive comes from a Russian word for ""flat-topped hill""'",HAVE YOU HEARD THE WORD?,tundra,What is tundra?,1,0.95
147203,'This Babylonian temple tower',"""Z"" IS FOR...",a ziggurat,What is Ziggurat?,1,1.0
139408,'An Internet site that offers e-mail & a search engine is called one of these entryways to the web',THE WAY IN,a portal,What is a portal?,1,0.95
136036,'A Minnesota Twin could tell you this word is a synonym for twin bill',TWINS,Doubleheader,What is a doubleheader?,1,0.95
131510,"'Vote did he get, this 900-year-old ""Star Wars"" character'",THE 2005 GREENSBORO MAYORAL RACE,Yoda,Who is Yoda?,1,0.95
108628,'The study of how individual differences are inherited or environmentally caused is known as behavior these',PSYCH!,genetics,What is behavior genetics?,0,1.0
34605,"'As the 1932 Democratic candidate for president, he promised to end prohibition'",PROHIBITION,Franklin D. Roosevelt,Who is Franklin D. Roosevelt?,1,0.9
130820,'First names of detective Fenton Hardy's adventurous sons',ADVENTURE HEROES,Frank & Joe,What are Frank and Joe?,1,1.0
37677,"'In 1936 Republicans said, ""Let's get another deck"" in response to this program'",POLITICAL TERMS & SLOGANS,The New Deal,What was the New Deal?,1,1.0
164040,"'Alimony is what you pay to an ex; this is a brittle silvery-white metallic element, atomic no. 51'",NOT TO BE CONFUSED,antimony,What is Antimony?,1,1.0
186329,"'It's the large, swift bird seen <a href=""http://www.j-archive.com/media/2005-10-12_J_16.jpg"" target=""_blank"">here</a>'",SHAKE YOUR TAIL FEATHER,an ostrich,What is an ostrich?,1,0.5
180832,"'From the Latin for ""to write across"", it's making a written copy of dictated material'",THAT'S WRITE!,transcribe,"What is ""transcription""?",1,0.95
116642,'There's good hiking at several stops on this country's mountainous Chihuahua al Pacifico train',TAKE A HIKE,Mexico,What is Mexico?,1,0.9
205155,'The Tiger Swallowtail & Zebra Swallowtail are species of this insect',ANIMALS,Butterfly,What is a butterfly?,1,1.0
93589,'Henry II kept this woman of Aquitaine locked up for years after she & his sons rebelled against him',MORE DYSFUNCTIONAL ROYAL FAMILIES,Eleanor,Who is Eleanor of Aquitaine?,1,1.0
44869,"'An NYU student said of this Clinton foe, ""He's obviously a better teacher than he is a special prosecutor""'",AS QUOTED IN NEWSWEEK,Ken Starr,Who is Kenneth Starr?,1,0.9
36333,"'All ""Hale"" this 58-year-old who won his fourth Senior PGA championship by a str--a shot'",SPORTS 2004,Hale Irwin,Who is Hale Irwin?,1,0.95
157132,'This system of linking Internet documents contains cross-references so you can jump easily between them',"""TEXT"" ME",hypertext,What is the World Wide Web?,0,1.0
67475,"'Perhaps the world's only spokesfish, he swims in Starkist ads'",ANIMALS IN SHOWBIZ,Charlie the Tuna,Who is Charlie the Tuna?,1,0.9
70652,'The Office of English Language Acquisition belongs to this cabinet department',GOVERNMENT & POLITICS,Department of Education,What is the Department of Education?,1,0.8
158908,'In 1533 Henry VIII's marriage to Catherine of Aragon ended & this Catherine wed the future Henry II of France',THE 16TH CENTURY,Catherine de\' Medici,Who is Catherine de' Medici?,1,0.85
37906,"'This missionary nurseryman did most of his work in Ohio & Indiana, where he died in 1845'",AMERICANA,Johnny Appleseed,Who is Johnny Appleseed?,1,0.95
209151,'Jane Fonda helps Michael Douglas uncover hazards at a nuclear power plant in this 1979 blockbuster',"HELP ME, FONDA",The China Syndrome,"What is ""The China Syndrome""?",1,0.9
104686,'On this sitcom you may find the Crane brothers having coffee at Cafe Nervosa',TV BARS & RESTAURANTS,"""Frasier""","What is ""Frasier""?",1,1.0
76302,"'Seen <a href=""http://www.j-archive.com/media/2004-11-01_J_13.jpg"" target=""_blank"">here</a> at a Senate hearing, he was the first U.S. Attorney General to be convicted of a felony'",AMERICAN HISTORY,John Mitchell,Who is John Mitchell?,1,0.95
164741,"'...Aesop, who gave us the moral ""the gods help them that"" do this'",A IS FOR...,help themselves,"What is ""Help themselves""?",1,1.0
24933,"'Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country'",MODERN AFRICAN HISTORY,Eritrea (formerly part of Ethiopia),What is Eritrea?,1,0.95
27645,'The energy we call sunshine is initially generated by the Sun's fusion of hydrogen into this',SUNSHINE,helium,What is helium?,1,0.9
85671,"'<a href=""http://www.j-archive.com/media/2001-09-13_J_25.jpg"" target=""_blank"">This band leader</a>'s plane disappeared on a trip to Paris in December 1944'",WORLD WAR II IN PICTURES,Glenn Miller,Who is Glenn Miller?,1,0.9
161544,"'Winston Smith works for this ironically named government unit in the novel ""1984""'","""TRUTH"" OR CONSEQUENCES",the Ministry of Truth,What is the Ministry of Truth?,1,0.99
180737,"'He used some of his enormous wealth to build a New York City concert hall & over 2,500 public libraries'",HUMANITARIANS,Andrew Carnegie,Who is Andrew Carnegie?,1,0.95
152482,"'This state was the setting for Edna Ferber's novel ""Ice Palace""'",BOOKS & AUTHORS,Alaska,What is Alaska?,1,1.0
215926,'Apollo astronauts collected 841 pounds of these (most are stored at Johnson space center)',A PIECE OF HISTORY,Moon rocks,What are moon rocks?,1,0.9
60673,"'In a 1922 Anne Nichols play, he marries an Irish girl named Rose Mary Murphy, starting a family feud'",DRAMA,Abie,"Who is Abie from ""Abie's Irish Rose""?",1,0.85
61092,'This colony's western boundary with Maryland was surveyed by Mason & Dixon in 1764',THE 13 COLONIES,Delaware,What is Pennsylvania?,0,0.9
113940,'The Navy shipyard at Bremerton in Washington state is on this inlet of the Pacific',BODIES OF WATER,Puget Sound,What is Puget Sound?,1,0.9
18793,"'Luxembourg is one-third of this economic union that was set up November 1, 1960'",A LITTLE BITTY COUNTRY,BENELUX,What is the Benelux Union?,1,0.9
112149,"'Boss Hogg has the General Lee impounded on dozens & dozens of felony evading arrest charges, then car-crushes it'",IF THE TV SERIES HAD A DOWNER ENDING,The Dukes of Hazzard,"What is the ending of the TV series ""The Dukes of Hazzard""?",1,1.0
67877,'Chris directed the first & second installments of this Macaulay Culkin franchise',CHRIS COLUMBUS,Home Alone,What is Home Alone?,1,1.0
185494,"'It's a lightweight, protective helmet used by construction workers'","TOO ""HARD""",a hard hat,What is a hard hat?,1,1.0
104683,'Thomas Hancock patented vulcanized rubber in England the year before this man in the U.S.',INVENTORS,Charles Goodyear,Who is Charles Goodyear?,1,0.8
155201,'This island at the southern tip of South Carolina is a major Marine Corps training base',BASES LOADED,Parris Island,What is Parris Island?,1,1.0
163166,'In 1791 the HMS Pandora sailed into Tahiti to seize several of this ship's crew',ENGLISH SHIPS,the Bounty,What is the HMS Bounty?,1,0.95
