,true_answer,model_answer,question
152429,(the Hope) diamond,What is a diamond?,"'The ""Hope""ful, priceless object, seen here, is this type of gem'"
33917,the (New York) Jets,What is the cheerleader squad for the New York Jets?,'In the AFC East:<br />The Flight Crew'
54076,Sugar Loaf Mountain,What is Sugarloaf Mountain?,"'This landmark in Rio's Guanabara Bay is an axample of an inselberg, or ""island mountain""'"
89296,Ben & Jerry,Who are Ben and Jerry?,"'Born just days apart in 1951, in 1976 they opened their first ice cream shop in a renovated gas station in Vermont'"
97094,Percy Shelley,Who is Percy Bysshe Shelley?,"'For writing the pamphlet ""The Necessity of Atheism"", this ""Ode to the West Wind"" poet was expelled from Oxford'"
110462,Franklin Delano Roosevelt,Who is Franklin D. Roosevelt?,"'Now with over a hundred chapters, the March of Dimes was first established by this president'"
125959,(Mary) Cassatt,Who is Mary Cassatt?,"'She's the Pennsylvania-born expatriate whose work is seen <a href=""http://www.j-archive.com/media/2005-12-05_J_16.jpg"" target=""_blank"">here</a>'"
147203,a ziggurat,What is Ziggurat?,'This Babylonian temple tower'
130820,Frank & Joe,What are Frank and Joe?,'First names of detective Fenton Hardy's adventurous sons'
180832,transcribe,"What is ""transcription""?","'From the Latin for ""to write across"", it's making a written copy of dictated material'"
44869,Ken Starr,Who is Kenneth Starr?,"'An NYU student said of this Clinton foe, ""He's obviously a better teacher than he is a special prosecutor""'"
158908,Catherine de\' Medici,Who is Catherine de' Medici?,'In 1533 Henry VIII's marriage to Catherine of Aragon ended & this Catherine wed the future Henry II of France'
24933,Eritrea (formerly part of Ethiopia),What is Eritrea?,"'Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country'"
163166,the Bounty,What is the HMS Bounty?,'In 1791 the HMS Pandora sailed into Tahiti to seize several of this ship's crew'
2841,the Solicitor General of the U.S.,Who is the Solicitor General?,"'He, not the Attorney General, represents the government in cases before the Supreme Court'"
191964,Dante Aligheri,Who is Dante Alighieri?,'A U.S. stamp from 1965 commemorated the 700th anniversary of the birth of this Italian poet'
177837,The H.M.S. Pinafore,What is H.M.S. Pinafore?,"'This opera is subtitled ""The Lass that Loved a Sailor""'"
15888,Valentines,What is Valentine's Day cards?,'In the 1840s Esther Howland made these cards from imported paper lace & floral decorations'
199464,Red River of the South,What is the Red River?,'Lake Texoma on the Texas-Oklahoma border was formed by damming this river'
198338,the sponge,What is a sponge?,"'Types of this aquatic creature include chimney, sheep's wool, and common bath'"
25093,the Rock & Roll Hall of Fame,What is the Rock and Roll Hall of Fame?,"'Kim Deal, Faith Hill & Vanilla Ice have been spotted at this attraction on the shores of Lake Erie'"
32415,the Incans,What are the Incas?,"'The trail named for these people led from Cuzco to Intipunku, ""the gateway of the sun"", & on to Machu Picchu'"
75200,the furies,What are Furies?,'These Greek female divinities punished crimes at the instigation of the victims'
149665,Jacques Cousteau,Who is Jacques-Yves Cousteau?,'One of Louis Malle's first jobs in filmmaking was an assistant to this marine explorer'
111156,Afghanistan,What is the Afghan National Army?,"'In August 2010 General Zahir Azimi announced that its army had reached target strength of 134,000 2 months ahead of schedule'"
7092,(Joshua) Reynolds,Who is Sir Joshua Reynolds?,'We're not joshing--in 1769 this portrait painter got knighted'
54508,General Beauregard,Who is Pierre Gustave Toutant Beauregard?,"'Called P.G.T.,  this Confederate Creole general led the attack of Fort Sumter to start the Civil War'"
47957,"""Long John"" Daly",Who is John Daly?,"'A 2005 rain delay at the Nissan Open had this golfer known as ""Long John"" saying, ""My marriages don't last this long""'"
94969,ice & ace,"What is ""There with a pack on his aching shoulder sat the best pitcher on our staff,"" with the letter ""I"" replaced by the letter ""A"" in the word ""pack""?",'There with a type of pack on his aching shoulder sat the best pitcher on our staff'
168391,"""Saturday Night\'s Alright for Fighting""","What is the opening line to Elton John's song ""Saturday Night's Alright for Fighting""?","'""It's getting late, have you seen my mates, Ma tell me when the boys get here""'"
102956,Soviet Union/Russia,What is the Soviet Union?,'On August 31 the people of Kyrgyzstan celebrate its break from this country'
12794,"Gold, silver &/or copper",What are copper and silver?,'2 of the first 3 metallic colors introduced'
65892,Antarctica,What is Australia?,'In 1998 it became the seventh continent to get an ESPN feed'
59985,Watson & Crick,Who are James Watson and Francis Crick?,'Maurice Wilkins shared the 1962 Nobel Prize with these 2 guys for determining the structure of DNA'
